model,iteration,average_prob
Model1,360000,5.56135e-21
Model1,380000,5.54276e-21
Model1,400000,5.49359e-21
Model1,420000,5.47919e-21
Model1,440000,5.46613e-21
Model1,460000,5.41624e-21
Model1,480000,5.45297e-21
Model1,500000,5.45113e-21
Model1,520000,5.46082e-21
Model1,540000,5.4453e-21
Model1,560000,5.48426e-21
Model1,580000,5.50276e-21
Model1,600000,5.46995e-21
Model1,620000,5.45371e-21
Model1,640000,5.44452e-21
Model1,660000,5.43455e-21
Model1,680000,5.41089e-21
Model1,700000,5.39663e-21
Model1,720000,5.38857e-21
Model1,740000,5.3994e-21
Model1,760000,5.42681e-21
Model1,780000,5.40888e-21
Model1,800000,5.40224e-21
Model1,820000,5.36876e-21
Model1,840000,5.39241e-21
Model1,860000,5.4016e-21
Model1,880000,5.40848e-21
Model1,900000,5.41326e-21
Model1,920000,5.41351e-21
Model1,940000,5.41709e-21
Model1,960000,5.4043e-21
Model1,980000,5.43862e-21
Model1,1000000,5.43648e-21
Model1,1020000,5.43004e-21
Model1,1040000,5.43957e-21
Model1,1060000,5.44386e-21
Model1,1080000,5.45421e-21
Model1,1100000,5.43874e-21
Model1,1120000,5.45839e-21
Model1,1140000,5.44662e-21
Model1,1160000,5.45247e-21
Model1,1180000,5.45622e-21
Model1,1200000,5.43929e-21
Model1,1220000,5.44848e-21
Model1,1240000,5.4801e-21
Model1,1260000,5.48134e-21
Model1,1280000,5.48331e-21
Model1,1300000,5.49166e-21
Model1,1320000,5.49672e-21
Model1,1340000,5.48797e-21
Model1,1360000,5.49437e-21
Model1,1380000,5.49462e-21
Model1,1400000,5.49607e-21
Model1,1420000,5.49949e-21
Model1,1440000,5.4975e-21
Model1,1460000,5.50683e-21
Model1,1480000,5.49372e-21
Model1,1500000,5.49745e-21
Model1,1520000,5.49892e-21
Model1,1540000,5.47432e-21
Model1,1560000,5.45701e-21
Model1,1580000,5.45457e-21
Model1,1600000,5.43955e-21
Model1,1620000,5.44678e-21
Model1,1640000,5.44252e-21
Model1,1660000,5.43922e-21
Model1,1680000,5.42278e-21
Model1,1700000,5.411e-21
Model1,1720000,5.40429e-21
Model1,1740000,5.41229e-21
Model1,1760000,5.40555e-21
Model1,1780000,5.40695e-21
Model1,1800000,5.40735e-21
Model1,1820000,5.417e-21
Model1,1840000,5.41662e-21
Model1,1860000,5.41674e-21
Model1,1880000,5.41623e-21
Model1,1900000,5.42147e-21
Model1,1920000,5.42119e-21
Model1,1940000,5.42637e-21
Model1,1960000,5.4204e-21
Model1,1980000,5.42188e-21
Model1,2000000,5.42188e-21
Model2,20000,6.98823e-22
Model2,40000,7.53906e-22
Model2,60000,8.34144e-22
Model2,80000,8.64453e-22
Model2,100000,9.11517e-22
Model2,120000,8.98238e-22
Model2,140000,8.85069e-22
Model2,160000,8.89021e-22
Model2,180000,8.44856e-22
Model2,200000,8.5292e-22
Model2,220000,8.43246e-22
Model2,240000,8.14002e-22
Model2,260000,8.02344e-22
Model2,280000,8.10426e-22
Model2,300000,8.29281e-22
Model2,320000,8.326e-22
Model2,340000,8.38077e-22
Model2,360000,8.34022e-22
Model2,380000,8.29162e-22
Model2,400000,8.53358e-22
Model2,420000,8.59669e-22
Model2,440000,8.73843e-22
Model2,460000,8.74575e-22
Model2,480000,8.64868e-22
Model2,500000,8.58283e-22
Model2,520000,8.49855e-22
Model2,540000,8.56858e-22
Model2,560000,8.59235e-22
Model2,580000,8.73999e-22
Model2,600000,8.67285e-22
Model2,620000,8.61641e-22
Model2,640000,8.69308e-22
Model2,660000,8.63052e-22
Model2,680000,8.61396e-22
Model2,700000,8.54208e-22
Model2,720000,8.59082e-22
Model2,740000,8.54852e-22
Model2,760000,8.60069e-22
Model2,780000,8.71784e-22
Model2,800000,8.73835e-22
Model2,820000,8.73984e-22
